,team,away_rank_exp,tie_rank_exp,home_rank_exp,composite_rank_exp,away_rank_standard,tie_rank_standard,home_rank_standard,composite_rank_standard
1,Cavalry FC,-0.17255693823099136,-0.11938953027129173,0.5712533831596375,0.2718248689499421,1470.023789564864,1479.2599143224627,1599.2368768299177,1680.1239872163794
3,Forge FC,-0.44756519198417666,-0.061251893639564514,0.19375334978103637,0.2151559693308977,1422.249962731721,1489.359456234485,1533.65840426407,1650.5907987362834
5,Pacific FC,-0.3235051542520523,0.017133539915084837,0.2291400546208024,0.20854920561815427,1443.8013986564295,1502.9764007362362,1539.8057045219298,1647.1476615078636
0,Atlético Ottawa,-0.19957736805081366,0.09755524396896362,0.2488301341421902,0.1957740156425752,1465.329860137103,1516.9470816545786,1543.2262216756797,1640.489828093872
8,York9 FC,0.05654723225161433,0.08901294469833373,0.10869428366422654,0.04952576637116826,1509.8232603735112,1515.4631322801783,1518.8821310439203,1564.2720589179721
4,HFX Wanderers,0.32545228600502013,0.023747679591178895,0.3032965324819088,0.02830532035257062,1556.5368527739117,1504.1253944817822,1552.6880041749134,1553.2129517866888
6,Valour FC,-0.16937021650373935,-0.07083499394357204,-0.0950060248374939,-0.0021226088365173777,1470.5773798294667,1487.6947012018625,1483.4957630662052,1537.355333695612
2,FC Edmonton,0.2512949645519257,0.06341852843761445,0.03842695653438568,-0.050821198701349074,1543.65440657399,1511.0169267803522,1506.675446071688,1511.9758990698926
7,Vancouver FC,0.24867032766342162,0.06890526190400123,-0.10935166478157043,-0.1117742811098822,1543.198460446919,1511.9700700076025,1481.003670159372,1480.2099942558689
