,team,data_driven_bias,matchday_0_rank_exp,matchday_0_rank_standard,matchday_1_rank_exp,matchday_1_rank_standard,matchday_2_rank_exp,matchday_2_rank_standard,matchday_3_rank_exp,matchday_3_rank_standard,matchday_4_rank_exp,matchday_4_rank_standard,matchday_5_rank_exp,matchday_5_rank_standard,matchday_6_rank_exp,matchday_6_rank_standard,matchday_7_rank_exp,matchday_7_rank_standard,matchday_8_rank_exp,matchday_8_rank_standard,matchday_9_rank_exp,matchday_9_rank_standard,matchday_10_rank_exp,matchday_10_rank_standard,matchday_11_rank_exp,matchday_11_rank_standard,matchday_12_rank_exp,matchday_12_rank_standard,matchday_13_rank_exp,matchday_13_rank_standard,matchday_14_rank_exp,matchday_14_rank_standard,matchday_15_rank_exp,matchday_15_rank_standard
0,Atlético Ottawa,0.197217951419153,0.1772368,1530.7892,0.22491670415281273,1539.0720334005732,0.15935283512326193,1527.6824227878685,0.22023609539379257,1538.258928378177,0.25969055073777525,1545.1128692751329,0.18877224557155914,1532.7930978352854,0.26140973164934006,1545.4115215884474,0.32249104077707025,1556.0224317890872,0.23758541349226592,1541.2728136241574,0.2907491071239971,1550.5082931368997,0.2087830946052703,1536.2693383607013,0.26636374411044755,1546.2721216985028,0.3237735400212098,1556.2452247269973,0.24444571428427586,1542.464569935424,0.3085692073155949,1553.6039616089693,,
1,Forge FC,0.197217951419153,0.29540238,1551.3167,0.3544830647102576,1561.5800155727272,0.40725240842490273,1570.746989488298,0.4427338332879718,1576.9107442995362,0.4427338332879718,1576.9107442995362,0.5008596599079087,1587.0082346023776,0.41322177566411833,1571.783974789276,0.35214046653638814,1561.173064588636,0.396627240260513,1568.9012087270623,0.33320303749687086,1557.8832962153174,0.2624025536908208,1545.5839924420982,0.3003335821345786,1552.173286980514,0.24292378622381638,1542.2001839520194,0.16834711390603452,1529.2448890454916,0.22101246544071473,1538.3937976690943,,
2,York9 FC,0.197217951419153,-0.10898913,1481.0667,-0.15666903415281275,1472.7838011929284,-0.2094383778674579,1463.616827277358,-0.14989362762746689,1473.9608098595722,-0.19161698916312442,1466.712719587016,-0.1414980883757628,1475.419264407419,-0.09779773817265616,1483.0107927875986,-0.043871129225535224,1492.3788042649942,-0.0883579029496601,1484.6506601265678,-0.1563474112929183,1472.839672806251,-0.0743813987741915,1487.0786275824494,-0.0125560277148615,1497.8187945795246,-0.08126880643751605,1485.8821623253293,-0.020665968076432534,1496.4099536404867,0.05165302801094519,1508.973050015499,,
3,Vancouver FC,0.197217951419153,-0.223884,1373.427,-0.1675271744629182,1470.8975490247644,-0.10685899108825966,1481.436691931448,-0.16640374132825067,1471.092709349234,-0.2085602131505962,1463.769380113652,-0.1544785183168123,1473.1643327689671,-0.06684063407302192,1488.388592582069,-0.000724998594234208,1499.8740548444546,-0.06725804068291123,1488.316081627115,-0.010247549026169436,1498.2198184019605,0.050806257759985166,1508.8259509565264,-0.02176254879946382,1496.219458057697,0.04876790168275716,1508.4718522379287,0.09919122936497528,1517.2312814265633,0.03506773633365627,1506.091889753018,,
4,Cavalry FC,0.197217951419153,0.38309288,1566.55,0.32401219528974246,1556.2866833934777,0.38344832626019165,1566.6117968759356,0.3119437178362203,1554.1901741282622,0.3541001896585659,1561.513503363844,0.28206955333778305,1549.0005002110056,0.2007699035408897,1534.8773044960226,0.11546873075453884,1520.0589730396275,0.1698326445105275,1529.5029521431834,0.23325684727416962,1540.5208646549286,0.16931065406032422,1529.4122731143316,0.10189130356550145,1517.7003323569706,0.04222954400383447,1507.3360231736624,0.09894798145577102,1517.1890249366827,0.026628985368393296,1504.6259285616702,,
5,Pacific FC,0.197217951419153,0.19882916,1534.5402,0.24977463245337553,1543.3902978375656,0.2904998880002875,1550.464999340815,0.34399527957631615,1559.7581006883042,0.3857186411119737,1567.0061909608603,0.31884446773191066,1555.3889571685393,0.24620698165412974,1542.7705334153775,0.18009134617534203,1531.2850711529918,0.10945525993133068,1519.0143261613853,0.04374750837356596,1507.5997205934625,0.10124758806111506,1517.5885075203823,0.039422217001785054,1506.8483405233071,-0.031108233480435926,1494.5959463430754,0.048219592256497995,1508.3766011346488,-0.004445759278182221,1499.2276925110461,,
6,HFX Wanderers,0.197217951419153,0.022001324,1503.822,-0.028944148453375524,1494.9718864173242,-0.08961233182803406,1484.4327435106406,-0.1504955920985647,1473.8562379203322,-0.1504955920985647,1473.8562379203322,-0.09752622841934755,1483.0579588626565,-0.1766687781328318,1469.3094898129284,-0.23059538707995275,1459.9414783355328,-0.19050101436475708,1466.9065842657656,-0.1312087659225218,1477.2067027930054,-0.07700924972857189,1486.6221231149486,-0.0044404431691228985,1499.228616013778,0.05522131639254409,1509.5929251970863,-0.0053815219685394294,1499.065133881929,-0.0053815219685394294,1499.065133881929,,
7,Valour FC,0.197217951419153,-0.22388439,1461.1073,-0.2802412155370818,1451.3171145961542,-0.32096647108399373,1444.2424130929048,-0.35644789594706283,1438.0786582816665,-0.39590235129104556,1431.2247173847104,-0.44602125207840715,1422.5181725643074,-0.3668787023649229,1436.2666416140353,-0.3271798751512738,1443.1630342528028,-0.26064683306259673,1454.7210074701425,-0.3138105266943279,1445.4855279574,-0.371310606381877,1435.4967410304803,-0.4092416348256348,1428.9074464920645,-0.3405288561029802,1440.8440787462596,-0.3972472935549168,1430.9910769832393,-0.3972472935549168,1430.9910769832393,,
8,FC Edmonton,0.197217951419153,-0.694634,1379.3297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
