,team,data_driven_bias,matchday_0_rank_exp,matchday_0_rank_standard,matchday_1_rank_exp,matchday_1_rank_standard,matchday_2_rank_exp,matchday_2_rank_standard,matchday_3_rank_exp,matchday_3_rank_standard,matchday_4_rank_exp,matchday_4_rank_standard,matchday_5_rank_exp,matchday_5_rank_standard,matchday_6_rank_exp,matchday_6_rank_standard,matchday_7_rank_exp,matchday_7_rank_standard,matchday_8_rank_exp,matchday_8_rank_standard,matchday_9_rank_exp,matchday_9_rank_standard,matchday_10_rank_exp,matchday_10_rank_standard,matchday_11_rank_exp,matchday_11_rank_standard,matchday_12_rank_exp,matchday_12_rank_standard,matchday_13_rank_exp,matchday_13_rank_standard,matchday_14_rank_exp,matchday_14_rank_standard,matchday_15_rank_exp,matchday_15_rank_standard,matchday_16_rank_exp,matchday_16_rank_standard,matchday_17_rank_exp,matchday_17_rank_standard,matchday_18_rank_exp,matchday_18_rank_standard,matchday_19_rank_exp,matchday_19_rank_standard,matchday_20_rank_exp,matchday_20_rank_standard,matchday_21_rank_exp,matchday_21_rank_standard,matchday_22_rank_exp,matchday_22_rank_standard,matchday_23_rank_exp,matchday_23_rank_standard,matchday_24_rank_exp,matchday_24_rank_standard,matchday_25_rank_exp,matchday_25_rank_standard,matchday_26_rank_exp,matchday_26_rank_standard,matchday_27_rank_exp,matchday_27_rank_standard,matchday_28_rank_exp,matchday_28_rank_standard
0,Forge FC,0.197217951419153,0.29540238,1551.3167,0.3781153385943606,1565.685362029804,0.4501757118576035,1578.2035310186502,0.4970495542747058,1586.3463514615903,0.5472597689092582,1595.0687591219757,0.6300514225709434,1609.451142455142,0.5034159682367768,1587.452310842886,0.4152189035223224,1572.1309114326652,0.47610153490091117,1582.7073077732537,0.37992014939120883,1565.9988897777844,0.2738391349525322,1547.5707300956178,0.324807710282304,1556.4248785020939,0.24422379252224358,1542.426018176758,0.13654777220853945,1523.7207775945403,0.2090358964987057,1536.3132545476349,0.2949959676430164,1551.246048372429,0.35744566438908093,1562.0946718497678,0.25089761183075815,1543.585379336321,0.32039669132902776,1555.6586060257025,0.39341254890454047,1568.342759640294,0.30468954903896905,1552.9299959364857,0.36216750776230966,1562.9149400583296,0.4363885514102168,1575.8084559372842,0.33232516156523084,1557.7307935461545,0.3967081840337978,1568.9152701006951,0.460004062891274,1579.9108904667028,0.5325263069045367,1592.509294622783,0.40532833469029095,1570.4127436460112,0.30431123952653844,1552.8642768430057
1,Cavalry FC,0.197217951419153,0.38309288,1566.55,0.30037992140563946,1552.1813369364006,0.3817289157478011,1566.3131046768726,0.2832009179858501,1549.197038380476,0.3440411986075206,1559.7660776410507,0.2387175052283457,1541.4694781017524,0.12637446940119992,1521.953493885757,0.00789622629255797,1501.3717150026869,0.07979693581674123,1513.8621475591995,0.17597832132644356,1530.5705655546687,0.2596886342783163,1545.1125363520257,0.16141002272826693,1528.039792877906,0.07211035080462559,1512.5268509770226,0.14900902907220348,1525.8855196319278,0.04701995361300926,1508.1682025573907,-0.04201997524268006,1492.7003826489572,0.04995752895358019,1508.6785116616247,0.14952232611339217,1525.974688460954,0.21848960686647811,1537.955532246129,0.3166610192472896,1555.009653317183,0.37598124034431596,1565.3146311922708,0.2535036087662987,1544.0380873719057,0.17928256511839152,1531.1445714929512,0.07328267833665965,1512.7305051282808,0.1715829354964497,1529.8070088299478,0.04937731482732627,1508.577718144283,0.1380411199653112,1523.9801986706718,0.21127587158676286,1536.7023780757725,0.2875756752255311,1549.95701155202
2,HFX Wanderers,0.197217951419153,0.022001324,1503.822,-0.04932233743472572,1491.4318324070114,-0.13238308396407023,1477.0027028548277,-0.21614461408383523,1462.451834724113,-0.26635482871838756,1453.7294270637274,-0.19667852209756248,1465.8334412576567,-0.30671930857227375,1446.7173987175522,-0.3761663847684828,1434.653205927021,-0.32742648844067274,1443.1201931365028,-0.24856919890263834,1456.8191074181889,-0.179650213341315,1468.79156146925,-0.07694908890723551,1486.632574120042,0.012350583016405833,1502.1455160209252,-0.07015272837260617,1487.8132228709278,-0.16376144866631437,1471.5517225982949,-0.09682496206790044,1483.1797813053677,-0.15927465881396496,1472.3311578280288,-0.08337524094235237,1485.516237172553,-0.1523425216954383,1473.5353933873778,-0.23575244620529567,1459.0456054071387,-0.15240465869678335,1473.5245990846554,-0.05576366080753907,1490.3128599282245,-0.1440429676833111,1474.9771735912677,-0.03997957783832509,1493.0548359823977,0.040348322613499216,1507.009221546038,0.12472110892196964,1521.6662757526663,0.0062604543121799194,1501.0875523047948,-0.06697429730927175,1488.3653728996942,0.011750270747765149,1502.0412310986494
3,Pacific FC,0.197217951419153,0.19882916,1534.5402,0.27015282143472574,1546.9303518478785,0.3255308081674333,1556.550493470649,0.4020028104054823,1569.83504090748,0.4577652131092554,1579.5219624242463,0.36555686677094057,1563.5037320241847,0.26178610769731925,1545.4769048047506,0.1710846510830934,1529.7204479614923,0.06798536060727667,1511.8102667847772,-0.028157349854688915,1495.1085673332357,0.054525832122048215,1509.4721072047155,-0.029075326200155696,1494.949098508694,-0.12946144721515873,1477.510243142099,-0.012790183273983707,1497.7781175926311,0.06860109643230806,1511.9172310532258,0.06860109643230806,1511.9172310532258,-0.0469095795427954,1491.8509713824649,0.03495808581208129,1506.072841506435,-0.05876238998600311,1489.7919273142527,-0.15399663200610453,1473.2480449952252,-0.21331685310313087,1462.9430671201376,-0.27079481182647147,1452.9581229982937,-0.18251550495069943,1468.2938093352502,-0.11010607214848943,1480.872616176748,-0.0366368228226458,1493.6355320054631,-0.12123780748089297,1478.9388356851998,-0.2099016126188779,1463.536355158811,-0.1033453275049384,1482.0470778136485,-0.0023282323411858985,1499.5955446166538
4,York9 FC,0.197217951419153,-0.10898913,1481.0667,-0.17574099581393782,1469.4706621095297,-0.24780136907718076,1456.9524931206838,-0.1607975010128871,1472.0666130425082,-0.21655990371666017,1462.379691525742,-0.14794671850938013,1474.299022614273,-0.08528975433652591,1485.1836521315051,-0.015842678140316868,1497.2478449220364,-0.07672530951890563,1486.6714485814482,-0.17019185233872897,1470.4346470657588,-0.05351668955018091,1490.7031988154508,0.030084468772023004,1505.226207511472,-0.07053295390904563,1487.747170929986,0.011970357479966373,1502.0794640799834,0.1139594329391606,1519.7967811545204,0.1999061976882833,1534.727263421713,0.279225700273797,1548.5064723337925,0.1860933656286737,1532.3277287245348,0.2664099066238037,1546.2801409484314,0.16823849424299217,1529.2260198773774,0.2545154943774207,1544.2138699067968,0.15787449648817642,1527.4256090632277,0.23594855048153446,1540.9884613948805,0.12419301457111771,1521.5745363676667,0.02589275741132764,1504.4980326659997,-0.03740312144614853,1493.502412299992,0.03554205321936314,1506.1742870354724,-0.07101423189457637,1487.663564380635,-0.14973879995161327,1473.9877061816799
5,Vancouver FC,0.197217951419153,-0.223884,1373.427,-0.1449844442480855,1474.8136223604988,-0.061923697718741,1489.2427519126823,-0.14892756578303468,1474.128631990858,-0.20976784640470517,1463.5595927302832,-0.1352761288184515,1476.5001294883652,-0.00864067448428496,1498.498961100621,0.08206078212994088,1514.2554179438794,-0.016097445997924884,1497.2035872121462,0.06543601118225176,1511.3673994296846,-0.025853675865875503,1495.508756493814,-0.128554800299955,1477.667743843022,-0.028168679284951967,1495.1065992096171,0.03915530040134389,1506.8019723606271,-0.047752268721150584,1491.7045812784172,-0.13680550397202787,1476.2344498123819,-0.22878300816828812,1460.2563207997143,-0.3046824260399007,1447.0712414551901,-0.2109619502418163,1463.3521556473722,-0.283977807817329,1450.6680020327808,-0.1830826598466867,1468.1952844385655,-0.25563291217660394,1455.592014739537,-0.333706966169962,1442.029162407884,-0.406116398972172,1429.4503555663864,-0.470499421440739,1418.2658790118458,-0.4177050421098624,1427.4372020594085,-0.36116569671965215,1437.2590923447647,-0.2740357836935285,1452.395108519147,-0.20167346040967749,1464.9657315990974
6,Atlético Ottawa,0.197217951419153,0.1772368,1530.7892,0.2439886658139378,1542.385172483972,0.15033766015609942,1526.1163264912161,0.2340991902758644,1540.667194621931,0.28700229532854404,1549.8574052619017,0.18649401291479772,1532.3973282867562,0.29026477198841905,1550.4241555061903,0.3784618367028735,1565.745554916411,0.25220173303068355,1543.811928392665,0.32595585646372505,1556.6243319224977,0.209280693675177,1536.3557801728057,0.2860020821251276,1549.6836504319135,0.36658599988518803,1563.6825107572492,0.249914735944013,1543.4146363067173,0.33682230506650745,1558.5120273889272,0.20959369283611515,1536.41015369618,0.13027419025060144,1522.6309447841002,0.030709393090789447,1505.3347679847711,-0.03878968640748015,1493.2615412953894,0.05644455561262125,1509.8054236144171,-0.03520765687886643,1493.8838035587062,0.0373425954510508,1506.4870732577347,-0.052829364036704435,1490.8225994865604,0.01617074918156368,1502.809146855118,-0.08536000149259268,1485.1714489506055,-0.17598721518412225,1469.4278894240063,-0.24893238984963392,1456.756014688526,-0.12173441763538814,1478.852565665298,-0.2243720943515371,1461.0225750120208
7,Valour FC,0.197217951419153,-0.22388439,1461.1073,-0.3027839457519145,1447.40104126042,-0.358161932484622,1437.7808996376496,-0.4050357749017243,1429.6380791947095,-0.45793887995440397,1420.4478685547388,-0.5265520651616841,1408.5285374662076,-0.4165112786869728,1427.644580006312,-0.3599895217956148,1437.4634148564696,-0.26183129366774904,1454.5152455882028,-0.33558541710079054,1441.7028420583702,-0.41826859907752767,1427.3393021868906,-0.46923717440729945,1418.4851537804145,-0.36861975172623085,1435.9641903619006,-0.44551842999380875,1422.6055217069954,-0.44551842999380875,1422.6055217069954,-0.3977470422242011,1430.9042617474759,-0.28223636624909765,1450.9705214182368,-0.17568831369077487,1469.4798139316836,-0.25600485468590484,1455.527401707787,-0.17259493017604746,1470.0171896880263,-0.2734900781466898,1452.4899072822413,-0.22096770972470708,1461.613977195104,-0.13613966921246234,1476.3501171571575,-0.0728952051228791,1487.336805863171,-0.1675673046710548,1470.890577693584,-0.08296632001280763,1485.5872740138473,-0.15548856402607036,1472.9888698577668,-0.24335865099994672,1457.7242722989215,-0.31965845463871495,1444.4696388226741
8,FC Edmonton,0.197217951419153,-0.694634,1379.3297,-0.694634,1379.3297,-0.694634,1379.3297,-0.694634,1379.3297,-0.694634,1379.3297,-0.694634,1379.3297,-0.694634,1379.3297,-0.694634,1379.3297,-0.694634,1379.3297,-0.694634,1379.3297,-0.694634,1379.3297,-0.694634,1379.3297,-0.694634,1379.3297,-0.694634,1379.3297,-0.694634,1379.3297,-0.694634,1379.3297,-0.694634,1379.3297,-0.694634,1379.3297,-0.694634,1379.3297,-0.694634,1379.3297,-0.694634,1379.3297,-0.694634,1379.3297,-0.694634,1379.3297,-0.694634,1379.3297,-0.694634,1379.3297,-0.694634,1379.3297,-0.694634,1379.3297,-0.694634,1379.3297,-0.694634,1379.3297
