,event_id,matchday,date,home,score,away,home_score,away_score,home_win,away_win,tie,pred_home_win_prob,pred_away_win_prob,correct_pred,briar_score,briar_score_running_mean,running_briar_skill_score
0,0,1,2024-04-13,Atlético Ottawa,2–1,York United,2.0,1.0,1.0,0.0,0.0,0.6185607667774982,0.38143923322250184,1.0,0.14549588864137014,0.14549588864137014,0.41801644543451943
1,1,1,2024-04-13,Forge FC,2–1,Cavalry FC,2.0,1.0,1.0,0.0,0.0,0.5273545223179396,0.47264547768206044,1.0,0.2233937475733031,0.18444481810733662,0.2622207275706535
2,2,1,2024-04-13,Pacific FC,1–0,HFX Wanderers,1.0,0.0,1.0,0.0,0.0,0.5924362203729958,0.4075637796270042,1.0,0.16610823446384923,0.1783326235595075,0.28666950576197003
3,3,1,2024-04-14,Vancouver FC,4–1,Valour FC,4.0,1.0,1.0,0.0,0.0,0.5491453957033456,0.45085460429665436,1.0,0.20326987421549278,0.1845669362235038,0.26173225510598475
4,4,2,2024-04-18,Vancouver FC,2–0,HFX Wanderers,2.0,0.0,1.0,0.0,0.0,0.52536716268946,0.47463283731053996,1.0,0.22527633025345348,0.19270881502949375,0.22916473988202501
5,5,2,2024-04-19,Pacific FC,2–0,Valour FC,2.0,0.0,1.0,0.0,0.0,0.6835543615273855,0.31644563847261453,1.0,0.10013784210834066,0.1772803195426349,0.2908787218294604
6,6,2,2024-04-20,Atlético Ottawa,1–1,Cavalry FC,1.0,1.0,0.0,0.0,1.0,0.5351486037590765,0.46485139624092353,2.0,0.07029720751815294,0.16199701782485176,0.35201192870059295
7,7,2,2024-04-21,York United,0–3,Forge FC,0.0,3.0,0.0,1.0,0.0,0.4117735615042455,0.5882264384957545,1.0,0.16955746595389065,0.16294207384098164,0.34823170463607345
8,8,3,2024-04-26,York United,3–0,Vancouver FC,3.0,0.0,1.0,0.0,0.0,0.5028350396326076,0.49716496036739244,1.0,0.24717299781711088,0.17230106539388487,0.3107957384244605
9,9,3,2024-04-27,HFX Wanderers,1–3,Atlético Ottawa,1.0,3.0,0.0,1.0,0.0,0.47863731497008566,0.5213626850299143,1.0,0.229093679281773,0.17798032678267367,0.2880786928693053
10,10,3,2024-04-27,Forge FC,2–1,Valour FC,2.0,1.0,1.0,0.0,0.0,0.7321494719022725,0.26785052809772747,1.0,0.0717439054022315,0.16832247029354258,0.3267101188258297
11,11,3,2024-04-28,Cavalry FC,0–0,Pacific FC,0.0,0.0,0.0,0.0,1.0,0.5630171300682912,0.43698286993170876,2.0,0.12603426013658248,0.16479845278046257,0.34080618887814973
12,12,4,2024-05-03,Cavalry FC,3–1,Vancouver FC,3.0,1.0,1.0,0.0,0.0,0.6523412535904544,0.34765874640954564,1.0,0.12086660395505676,0.16141907979389292,0.35432368082442833
13,13,4,2024-05-04,Pacific FC,2–0,York United,2.0,0.0,1.0,0.0,0.0,0.6813576988355823,0.3186423011644177,1.0,0.10153291609135548,0.15714149667228308,0.3714340133108677
14,14,4,2024-05-05,Atlético Ottawa,2–0,Valour FC,2.0,0.0,1.0,0.0,0.0,0.6976965425561161,0.30230345744388387,1.0,0.09138738038252611,0.15275788891963263,0.3889684443214695
15,16,5,2024-05-10,York United,3–1,Valour FC,3.0,1.0,1.0,0.0,0.0,0.6079246559583996,0.3920753440416004,1.0,0.1537230754053393,0.15281821307498927,0.3887271477000429
16,17,5,2024-05-11,HFX Wanderers,1–1,Cavalry FC,1.0,1.0,0.0,0.0,1.0,0.41024132074818154,0.5897586792518185,2.0,0.17951735850363693,0.15438875104138033,0.38244499583447866
17,18,5,2024-05-11,Pacific FC,0–0,Forge FC,0.0,0.0,0.0,0.0,1.0,0.5394015371289399,0.4605984628710601,2.0,0.0788030742578798,0.1501895467756303,0.39924181289747884
18,19,5,2024-05-12,Vancouver FC,1–1,Atlético Ottawa,1.0,1.0,0.0,0.0,1.0,0.4256669576357353,0.5743330423642647,2.0,0.14866608472852938,0.15010936456262497,0.3995625417495001
19,20,6,2024-05-17,Pacific FC,0–1,Atlético Ottawa,0.0,1.0,0.0,1.0,0.0,0.5924478331733516,0.4075521668266484,0.0,0.35099443503179945,0.1601536180860837,0.3593855276556652
20,21,6,2024-05-18,Forge FC,1–2,Vancouver FC,1.0,2.0,0.0,1.0,0.0,0.7130305219661792,0.2869694780338208,0.0,0.508412525255362,0.17673737557033506,0.29305049771865976
21,22,6,2024-05-18,Cavalry FC,2–2,York United,2.0,2.0,0.0,0.0,1.0,0.6424463980400567,0.35755360195994335,2.0,0.2848927960801133,0.18165353104805224,0.27338587580779106
22,23,6,2024-05-20,HFX Wanderers,1–2,Valour FC,1.0,2.0,0.0,1.0,0.0,0.6409333928344391,0.35906660716556094,0.0,0.4107956140502654,0.19161623030901803,0.23353507876392787
23,24,7,2024-05-24,York United,2–1,HFX Wanderers,2.0,1.0,1.0,0.0,0.0,0.59106235686217,0.40893764313783,1.0,0.1672299959751232,0.1906001372117724,0.23759945115291037
24,25,7,2024-05-25,Atlético Ottawa,3–0,Forge FC,3.0,0.0,1.0,0.0,0.0,0.5086282411914926,0.49137175880850736,1.0,0.24144620535456593,0.19263397993748416,0.22946408025006337
25,26,7,2024-05-25,Vancouver FC,2–1,Pacific FC,2.0,1.0,1.0,0.0,0.0,0.4817657376885782,0.5182342623114218,0.0,0.2685667506334635,0.19555447111809876,0.21778211552760496
26,27,7,2024-05-26,Cavalry FC,1–1,Valour FC,1.0,1.0,0.0,0.0,1.0,0.6769984765668228,0.32300152343317723,2.0,0.35399695313364554,0.20142271119274863,0.1943091552290055
27,28,8,2024-06-01,Forge FC,3–0,York United,3.0,0.0,1.0,0.0,0.0,0.6405869515989634,0.3594130484010366,1.0,0.1291777393609259,0.19884253362732637,0.2046298654906945
28,29,8,2024-06-01,Pacific FC,1–1,Cavalry FC,1.0,1.0,0.0,0.0,1.0,0.588141555879944,0.411858444120056,2.0,0.17628311175988798,0.1980646225284492,0.2077415098862032
