,event_id,matchday,date,home,score,away,home_score,away_score,home_win,away_win,tie,pred_home_win_prob,pred_away_win_prob,correct_pred,briar_score,briar_score_running_mean,running_briar_skill_score
0,0,1,2024-04-13,Atlético Ottawa,2–1,York United,2.0,1.0,1.0,0.0,0.0,0.6185607667774982,0.38143923322250184,1.0,0.14549588864137014,0.14549588864137014,0.41801644543451943
1,1,1,2024-04-13,Forge FC,2–1,Cavalry FC,2.0,1.0,1.0,0.0,0.0,0.5273545223179396,0.47264547768206044,1.0,0.2233937475733031,0.18444481810733662,0.2622207275706535
2,2,1,2024-04-13,Pacific FC,1–0,HFX Wanderers,1.0,0.0,1.0,0.0,0.0,0.5924362203729958,0.4075637796270042,1.0,0.16610823446384923,0.1783326235595075,0.28666950576197003
3,3,1,2024-04-14,Vancouver FC,4–1,Valour FC,4.0,1.0,1.0,0.0,0.0,0.5491453957033456,0.45085460429665436,1.0,0.20326987421549278,0.1845669362235038,0.26173225510598475
4,4,2,2024-04-18,Vancouver FC,2–0,HFX Wanderers,2.0,0.0,1.0,0.0,0.0,0.52536716268946,0.47463283731053996,1.0,0.22527633025345348,0.19270881502949375,0.22916473988202501
5,5,2,2024-04-19,Pacific FC,2–0,Valour FC,2.0,0.0,1.0,0.0,0.0,0.6835543615273855,0.31644563847261453,1.0,0.10013784210834066,0.1772803195426349,0.2908787218294604
6,6,2,2024-04-20,Atlético Ottawa,1–1,Cavalry FC,1.0,1.0,0.0,0.0,1.0,0.5351486037590765,0.46485139624092353,2.0,0.07029720751815294,0.16199701782485176,0.35201192870059295
7,7,2,2024-04-21,York United,0–3,Forge FC,0.0,3.0,0.0,1.0,0.0,0.4117735615042455,0.5882264384957545,1.0,0.16955746595389065,0.16294207384098164,0.34823170463607345
8,8,3,2024-04-26,York United,3–0,Vancouver FC,3.0,0.0,1.0,0.0,0.0,0.5028350396326076,0.49716496036739244,1.0,0.24717299781711088,0.17230106539388487,0.3107957384244605
10,10,3,2024-04-27,Forge FC,2–1,Valour FC,2.0,1.0,1.0,0.0,0.0,0.7321494719022725,0.26785052809772747,1.0,0.0717439054022315,0.16224534939471952,0.35101860242112193
9,9,3,2024-04-27,HFX Wanderers,1–3,Atlético Ottawa,1.0,3.0,0.0,1.0,0.0,0.47863731497008566,0.5213626850299143,1.0,0.229093679281773,0.16832247029354258,0.3267101188258297
11,11,3,2024-04-28,Cavalry FC,0–0,Pacific FC,0.0,0.0,0.0,0.0,1.0,0.5630171300682912,0.43698286993170876,2.0,0.12603426013658248,0.16479845278046257,0.34080618887814973
12,12,4,2024-05-03,Cavalry FC,3–1,Vancouver FC,3.0,1.0,1.0,0.0,0.0,0.6523412535904544,0.34765874640954564,1.0,0.12086660395505676,0.16141907979389292,0.35432368082442833
13,13,4,2024-05-04,Pacific FC,2–0,York United,2.0,0.0,1.0,0.0,0.0,0.6813576988355823,0.3186423011644177,1.0,0.10153291609135548,0.15714149667228308,0.3714340133108677
14,14,4,2024-05-05,Atlético Ottawa,2–0,Valour FC,2.0,0.0,1.0,0.0,0.0,0.6976965425561161,0.30230345744388387,1.0,0.09138738038252611,0.15275788891963263,0.3889684443214695
16,16,5,2024-05-10,York United,3–1,Valour FC,3.0,1.0,1.0,0.0,0.0,0.6079246559583996,0.3920753440416004,1.0,0.1537230754053393,0.15281821307498927,0.3887271477000429
17,17,5,2024-05-11,HFX Wanderers,1–1,Cavalry FC,1.0,1.0,0.0,0.0,1.0,0.398150323547572,0.6018496764524279,2.0,0.20369935290485597,0.15581122130027555,0.3767551147988978
18,18,5,2024-05-11,Pacific FC,0–0,Forge FC,0.0,0.0,0.0,0.0,1.0,0.5269048362189418,0.4730951637810582,2.0,0.05380967243788359,0.15014446858569822,0.39942212565720714
19,19,5,2024-05-12,Vancouver FC,1–1,Atlético Ottawa,1.0,1.0,0.0,0.0,1.0,0.4256669576357353,0.5743330423642647,2.0,0.14866608472852938,0.15006665890900514,0.39973336436397944
20,20,6,2024-05-17,Pacific FC,0–1,Atlético Ottawa,0.0,1.0,0.0,1.0,0.0,0.5929757661349789,0.40702423386502107,0.0,0.3516202592233652,0.16014433892472313,0.3594226443011075
22,22,6,2024-05-18,Cavalry FC,2–2,York United,2.0,2.0,0.0,0.0,1.0,0.6419602047265474,0.35803979527345264,2.0,0.2839204094530947,0.16603843752131225,0.335846249914751
21,21,6,2024-05-18,Forge FC,1–2,Vancouver FC,1.0,2.0,0.0,1.0,0.0,0.7236311676238089,0.27636883237619114,0.0,0.523642066756597,0.1822931479410979,0.27082740823560836
23,23,6,2024-05-20,HFX Wanderers,1–2,Valour FC,1.0,2.0,0.0,1.0,0.0,0.6288044941412072,0.3711955058587928,0.0,0.39539509185217947,0.1915584498502754,0.2337662005988984
24,24,7,2024-05-24,York United,2–1,HFX Wanderers,2.0,1.0,1.0,0.0,0.0,0.6031595645930912,0.39684043540690883,1.0,0.15748233117394497,0.19013861157209497,0.23944555371162013
25,25,7,2024-05-25,Atlético Ottawa,3–0,Forge FC,3.0,0.0,1.0,0.0,0.0,0.4960167730602602,0.5039832269397397,0.0,0.2539990930365932,0.19269303083067488,0.2292278766773005
26,26,7,2024-05-25,Vancouver FC,2–1,Pacific FC,2.0,1.0,1.0,0.0,0.0,0.4817059622044238,0.5182940377955763,0.0,0.26862870961444224,0.19561363386081979,0.21754546455672086
27,27,7,2024-05-26,Cavalry FC,1–1,Valour FC,1.0,1.0,0.0,0.0,1.0,0.6770185320493827,0.32298146795061733,2.0,0.35403706409876534,0.20148116831407703,0.19407532674369188
28,28,8,2024-06-01,Forge FC,3–0,York United,3.0,0.0,1.0,0.0,0.0,0.652099249265207,0.347900750734793,1.0,0.12103493236183256,0.1986080884586397,0.2055676461654412
29,29,8,2024-06-01,Pacific FC,1–1,Cavalry FC,1.0,1.0,0.0,0.0,1.0,0.5891388027189528,0.4108611972810472,2.0,0.1782776054379056,0.1979070373199937,0.20837185072002518
