,event_id,matchday,date,home,score,away,home_score,away_score,home_win,away_win,tie,pred_home_win_prob,pred_away_win_prob,correct_pred,briar_score,briar_score_running_mean,running_briar_skill_score
31,31,8,2024-06-02,Valour FC,2–0,Vancouver FC,2.0,0.0,1.0,0.0,0.0,0.43909583926933843,0.5609041607306615,0.0,0.31461347752496777,0.20179725199349285,0.19281099202602858
30,30,8,2024-06-02,Atlético Ottawa,2–2,HFX Wanderers,2.0,2.0,0.0,0.0,1.0,0.7214863066982282,0.2785136933017718,2.0,0.44297261339645644,0.2095771023613304,0.1616915905546784
33,33,9,2024-06-08,Cavalry FC,1–0,Forge FC,1.0,0.0,1.0,0.0,0.0,0.4503920828017009,0.549607917198299,0.0,0.30206886264705235,0.2124674698702592,0.15013012051896324
32,32,9,2024-06-08,HFX Wanderers,0–0,Pacific FC,0.0,0.0,0.0,0.0,1.0,0.4506130830744823,0.5493869169255177,2.0,0.09877383385103544,0.20902220817270697,0.1639111673091721
34,34,9,2024-06-09,Valour FC,0–2,Atlético Ottawa,0.0,2.0,0.0,1.0,0.0,0.4214521339030944,0.5785478660969057,1.0,0.1776219011714718,0.20809866973149416,0.16760532107402337
35,35,9,2024-06-09,York United,2–2,Vancouver FC,2.0,2.0,0.0,0.0,1.0,0.5340945303989906,0.4659054696010094,2.0,0.06818906079798115,0.2041012523333938,0.18359499066642482
36,36,10,2024-06-14,Valour FC,2–3,Pacific FC,2.0,3.0,0.0,1.0,0.0,0.4724753255813551,0.5275246744186449,1.0,0.22323293328320748,0.20463268791533307,0.18146924833866773
37,37,10,2024-06-15,Atlético Ottawa,1–2,York United,1.0,2.0,0.0,1.0,0.0,0.6667152159345604,0.3332847840654396,0.0,0.4445091791586675,0.21111583632731507,0.15553665469073974
38,38,10,2024-06-15,HFX Wanderers,2–2,Forge FC,2.0,2.0,0.0,0.0,1.0,0.39382277463613335,0.6061772253638666,2.0,0.2123544507277333,0.21114843144311557,0.15540627422753772
39,39,10,2024-06-16,Vancouver FC,0–0,Cavalry FC,0.0,0.0,0.0,0.0,1.0,0.5216553545607272,0.4783446454392728,2.0,0.043310709121454405,0.20684490010153447,0.1726203995938621
40,40,11,2024-06-19,York United,2–0,Pacific FC,2.0,0.0,1.0,0.0,0.0,0.5222790953016919,0.4777209046983081,1.0,0.22821726278576995,0.2073792091686404,0.17048316332543845
41,41,11,2024-06-21,Cavalry FC,1–1,Atlético Ottawa,1.0,1.0,0.0,0.0,1.0,0.561592066000282,0.438407933999718,2.0,0.123184132000564,0.2053256707011263,0.17869731719549475
43,43,11,2024-06-23,Vancouver FC,0–4,HFX Wanderers,0.0,4.0,0.0,1.0,0.0,0.5868635681947401,0.41313643180525994,0.0,0.34440884767426233,0.20863717491477243,0.16545130034091027
42,42,11,2024-06-23,Forge FC,2–1,Valour FC,2.0,1.0,1.0,0.0,0.0,0.7087509981155897,0.2912490018844103,1.0,0.08482598109866522,0.20575784482602572,0.17696862069589714
44,44,12,2024-06-27,Valour FC,1–0,York United,1.0,0.0,1.0,0.0,0.0,0.42504329896532206,0.5749567010346779,0.0,0.33057520806468,0.20859460308144973,0.1656215876742011
45,45,12,2024-06-27,Pacific FC,1–2,Vancouver FC,1.0,2.0,0.0,1.0,0.0,0.5736349772285888,0.4263650227714112,0.0,0.3290570871000436,0.2112715471707518,0.15491381131699278
46,46,12,2024-06-28,Atlético Ottawa,4–3,Forge FC,4.0,3.0,1.0,0.0,0.0,0.5395204699425119,0.4604795300574881,1.0,0.21204139760196508,0.21128828304969122,0.15484686780123513
47,47,12,2024-07-01,HFX Wanderers,1–0,Cavalry FC,1.0,0.0,1.0,0.0,0.0,0.4897161604363352,0.5102838395636649,0.0,0.26038959691983604,0.21233299185543897,0.15066803257824413
48,48,13,2024-07-05,Forge FC,3–3,Vancouver FC,3.0,3.0,0.0,0.0,1.0,0.6152915446497379,0.3847084553502621,2.0,0.2305830892994758,0.2127132022188564,0.14914719112457442
49,49,13,2024-07-06,York United,2–1,HFX Wanderers,2.0,1.0,1.0,0.0,0.0,0.5285525063485028,0.4714474936514972,1.0,0.22226273927027848,0.2129080907301099,0.14836763707956035
50,50,13,2024-07-07,Atlético Ottawa,0–1,Pacific FC,0.0,1.0,0.0,1.0,0.0,0.6666929368067145,0.3333070631932855,0.0,0.4444794719879618,0.21753951835526697,0.12984192657893212
51,51,13,2024-07-07,Valour FC,0–1,Cavalry FC,0.0,1.0,0.0,1.0,0.0,0.4394210186718738,0.5605789813281262,1.0,0.19309083165062724,0.2170601323414505,0.13175947063419802
52,52,14,2024-07-12,Vancouver FC,0–3,Atlético Ottawa,0.0,3.0,0.0,1.0,0.0,0.4966146806999685,0.5033853193000315,1.0,0.24662614108673167,0.21762870943270587,0.1294851622691765
53,53,14,2024-07-13,Cavalry FC,1–2,York United,1.0,2.0,0.0,1.0,0.0,0.5827947169096813,0.4172052830903187,0.0,0.3396496820578356,0.21993099193506682,0.12027603225973271
54,54,14,2024-07-14,Forge FC,2–1,Pacific FC,2.0,1.0,1.0,0.0,0.0,0.5857821469133356,0.41421785308666437,1.0,0.17157642981572546,0.21903553708100496,0.12385785167598018
56,56,15,2024-07-18,HFX Wanderers,3–1,Valour FC,3.0,1.0,1.0,0.0,0.0,0.617505790866206,0.38249420913379395,1.0,0.1463018200208865,0.21771310586173007,0.12914757655307973
57,57,15,2024-07-20,Vancouver FC,1–1,York United,1.0,1.0,0.0,0.0,1.0,0.5088756300050131,0.4911243699949869,2.0,0.01775126001002625,0.21414235861437822,0.14343056554248712
58,58,15,2024-07-21,Atlético Ottawa,2–2,Valour FC,2.0,2.0,0.0,0.0,1.0,0.7270206413165275,0.27297935868347245,2.0,0.4540412826330551,0.21835111166733745,0.1265955533306502
59,59,15,2024-07-21,Cavalry FC,1–1,Forge FC,1.0,1.0,0.0,0.0,1.0,0.5087995934610818,0.49120040653891817,2.0,0.017599186922163668,0.2148898715855241,0.14044051365790355
60,60,16,2024-07-26,York United,4–1,Atlético Ottawa,4.0,1.0,1.0,0.0,0.0,0.5467456995113502,0.4532543004886498,1.0,0.20543946091145524,0.21472969513342124,0.14108121946631502
61,61,16,2024-07-26,Vancouver FC,0–1,Cavalry FC,0.0,1.0,0.0,1.0,0.0,0.5255857382643443,0.4744142617356557,0.0,0.2762403682668758,0.21575487301897883,0.13698050792408467
62,62,16,2024-07-27,Forge FC,3–0,HFX Wanderers,3.0,0.0,1.0,0.0,0.0,0.6431445900224884,0.35685540997751164,1.0,0.12734578363021792,0.21430554368473687,0.14277782526105254
63,63,16,2024-07-28,Pacific FC,0–3,Valour FC,0.0,3.0,0.0,1.0,0.0,0.6600610055720199,0.33993899442798015,0.0,0.43568053107674604,0.2178761079975112,0.1284955680099552
64,64,17,2024-08-02,Pacific FC,1–1,York United,1.0,1.0,0.0,0.0,1.0,0.4678152305992954,0.5321847694007046,2.0,0.06436953880140917,0.21543949578804925,0.13824201684780302
65,65,17,2024-08-03,Atlético Ottawa,1–2,Cavalry FC,1.0,2.0,0.0,1.0,0.0,0.5689416980560685,0.43105830194393147,0.0,0.32369465578692264,0.21713098266303166,0.13147606934787337
66,66,17,2024-08-04,Valour FC,2–1,Forge FC,2.0,1.0,1.0,0.0,0.0,0.39115398538101276,0.6088460146189872,0.0,0.37069346951742405,0.21949348246079153,0.12202607015683387
67,67,17,2024-08-05,HFX Wanderers,3–2,Vancouver FC,3.0,2.0,1.0,0.0,0.0,0.5662890407336423,0.4337109592663577,1.0,0.1881051961877442,0.21901790236574536,0.12392839053701854
68,68,18,2024-08-10,Cavalry FC,3–2,HFX Wanderers,3.0,2.0,1.0,0.0,0.0,0.6059012528395089,0.3940987471604911,1.0,0.15531382251346867,0.2180670952037711,0.1277316191849156
69,69,18,2024-08-10,Forge FC,3–0,Atlético Ottawa,3.0,0.0,1.0,0.0,0.0,0.6028624028670309,0.39713759713296914,1.0,0.1577182710565485,0.2171796124957237,0.13128155001710518
70,70,18,2024-08-11,Vancouver FC,1–0,Pacific FC,1.0,0.0,1.0,0.0,0.0,0.46445442401094633,0.5355455759890537,0.0,0.28680906396144734,0.21818873498073418,0.12724506007706327
71,71,18,2024-08-11,Valour FC,0–1,York United,0.0,1.0,0.0,1.0,0.0,0.4589516628293142,0.5410483371706858,1.0,0.21063662881379253,0.21808084774977787,0.1276766090008885
15,15,4,2024-08-14,Forge FC,2–0,HFX Wanderers,2.0,0.0,1.0,0.0,0.0,0.7130844878025581,0.28691551219744194,1.0,0.08232051113952045,0.216168730332732,0.13532507866907195
72,72,19,2024-08-16,York United,1–2,Cavalry FC,1.0,2.0,0.0,1.0,0.0,0.5609794993189231,0.4390205006810769,0.0,0.31469799865610965,0.2175371923927789,0.12985123042888436
73,73,19,2024-08-17,Pacific FC,0–3,Atlético Ottawa,0.0,3.0,0.0,1.0,0.0,0.5441956686862938,0.45580433131370623,0.0,0.2961489258169224,0.2186140654533836,0.12554373818646558
74,74,19,2024-08-17,Valour FC,2–1,HFX Wanderers,2.0,1.0,1.0,0.0,0.0,0.5233718599436721,0.4766281400563279,1.0,0.22717438389355454,0.21872974543230483,0.12508101827078066
75,75,19,2024-08-18,Vancouver FC,1–2,Forge FC,1.0,2.0,0.0,1.0,0.0,0.41723347186007265,0.5827665281399274,1.0,0.17408377004041004,0.21813446576041293,0.1274621369583483
76,76,20,2024-08-23,York United,0–0,Forge FC,0.0,0.0,0.0,0.0,1.0,0.49301142933959174,0.5069885706604083,2.0,0.01397714132081651,0.21544818517568137,0.1382072592972745
77,77,20,2024-08-24,HFX Wanderers,1–1,Atlético Ottawa,1.0,1.0,0.0,0.0,1.0,0.47627307147721326,0.5237269285227868,2.0,0.04745385704557348,0.21326644065451114,0.14693423738195543
78,78,20,2024-08-24,Cavalry FC,1–0,Pacific FC,1.0,0.0,1.0,0.0,0.0,0.6610273080169924,0.3389726919830076,1.0,0.11490248591020695,0.21200536431163547,0.15197854275345812
79,79,20,2024-08-25,Valour FC,1–2,Vancouver FC,1.0,2.0,0.0,1.0,0.0,0.5765437026893847,0.4234562973106153,0.0,0.3324026411107856,0.21352938047365003,0.1458824781053999
80,80,21,2024-08-30,Forge FC,2–0,Pacific FC,2.0,0.0,1.0,0.0,0.0,0.6715545215809109,0.3284454784190891,1.0,0.10787643229394434,0.21220871862140367,0.15116512551438532
81,81,21,2024-08-30,Cavalry FC,2–2,Valour FC,2.0,2.0,0.0,0.0,1.0,0.699872180445813,0.300127819554187,2.0,0.399744360891626,0.21452397346424595,0.14190410614301618
82,82,21,2024-08-31,Atlético Ottawa,1–0,Vancouver FC,1.0,0.0,1.0,0.0,0.0,0.5854271295433301,0.4145728704566699,1.0,0.1718706649186828,0.2140038111649098,0.14398475534036081
83,83,21,2024-09-02,HFX Wanderers,2–1,York United,2.0,1.0,1.0,0.0,0.0,0.44776572634717543,0.5522342736528245,0.0,0.3049626929968627,0.21509970130746345,0.1396011947701462
84,84,22,2024-09-06,Vancouver FC,0–1,York United,0.0,1.0,0.0,1.0,0.0,0.4461374513906174,0.5538625486093827,1.0,0.1990386255333155,0.21490849802443787,0.1403660079022485
85,85,22,2024-09-07,Forge FC,2–1,Cavalry FC,2.0,1.0,1.0,0.0,0.0,0.5758797505833876,0.4241202494166124,1.0,0.1798779859652095,0.21449637435315283,0.14201450258738868
86,86,22,2024-09-07,Pacific FC,3–0,HFX Wanderers,3.0,0.0,1.0,0.0,0.0,0.4955468178527311,0.5044531821472689,0.0,0.2544730129785056,0.21496121898833134,0.14015512404667463
87,87,22,2024-09-09,Valour FC,1–1,Atlético Ottawa,1.0,1.0,0.0,0.0,1.0,0.48473166006997,0.51526833993003,2.0,0.030536679860060034,0.21284139669950067,0.14863441320199733
88,88,23,2024-09-13,York United,1–1,Valour FC,1.0,1.0,0.0,0.0,1.0,0.6386030623452386,0.36139693765476144,2.0,0.2772061246904771,0.2135728140630345,0.14570874374786202
89,89,23,2024-09-14,HFX Wanderers,3–0,Forge FC,3.0,0.0,1.0,0.0,0.0,0.4053520580286513,0.5946479419713486,0.0,0.3536061748907604,0.21514622261166064,0.13941510955335745
90,90,23,2024-09-14,Pacific FC,3–0,Vancouver FC,3.0,0.0,1.0,0.0,0.0,0.5862318125588,0.41376818744120003,1.0,0.17120411293837604,0.21465797694862412,0.1413680922055035
91,91,23,2024-09-15,Cavalry FC,2–2,Atlético Ottawa,2.0,2.0,0.0,0.0,1.0,0.6057136387527536,0.39428636124724636,2.0,0.21142727750550727,0.21462247475694152,0.14151010097223393
55,55,14,2024-09-18,HFX Wanderers,2–2,Pacific FC,2.0,2.0,0.0,0.0,1.0,0.5349069731069042,0.46509302689309584,2.0,0.06981394621380832,0.21304846901190744,0.14780612395237025
92,92,24,2024-09-20,York United,0–2,Cavalry FC,0.0,2.0,0.0,1.0,0.0,0.5617157551988005,0.43828424480119954,0.0,0.31552458963855873,0.21415036278208652,0.14339854887165393
93,93,24,2024-09-21,Valour FC,1–1,HFX Wanderers,1.0,1.0,0.0,0.0,1.0,0.5409834259895754,0.4590165740104246,2.0,0.08196685197915077,0.21274415522035314,0.14902337911858743
94,94,24,2024-09-21,Vancouver FC,1–3,Forge FC,1.0,3.0,0.0,1.0,0.0,0.3679029855346683,0.6320970144653317,1.0,0.13535260676532238,0.21192950734187915,0.1522819706324834
95,95,24,2024-09-22,Atlético Ottawa,1–1,Pacific FC,1.0,1.0,0.0,0.0,1.0,0.5801757181380364,0.41982428186196363,2.0,0.16035143627607273,0.211392235768277,0.15443105692689196
96,96,25,2024-09-28,Forge FC,,York United,,,,,,0.6383092636715647,0.3616907363284353,0.0,,0.211392235768277,0.15443105692689196
97,97,25,2024-09-28,Cavalry FC,,Vancouver FC,,,,,,0.6983178323949911,0.3016821676050089,0.0,,0.211392235768277,0.15443105692689196
98,98,25,2024-09-29,Atlético Ottawa,,HFX Wanderers,,,,,,0.5178697925230261,0.4821302074769739,0.0,,0.211392235768277,0.15443105692689196
99,99,25,2024-09-30,Valour FC,,Pacific FC,,,,,,0.5165658019528733,0.48343419804712673,0.0,,0.211392235768277,0.15443105692689196
