,event_id,matchday,date,home,score,away,home_score,away_score,home_win,away_win,tie,pred_home_win_prob,pred_away_win_prob,correct_pred,briar_score,briar_score_running_mean,running_briar_skill_score
0,0,1,2024-04-13,Atlético Ottawa,2–1,York9 FC,2.0,1.0,1.0,0.0,0.0,0.6185607667774980,0.38143923322250200,1.0,0.14549588864137000,0.14549588864137000,0.41801644543451900
1,1,1,2024-04-13,Forge FC,2–1,Cavalry FC,2.0,1.0,1.0,0.0,0.0,0.5273545223179400,0.47264547768206000,1.0,0.2233937475733030,0.18444481810733700,0.2622207275706540
2,2,1,2024-04-13,Pacific FC,1–0,HFX Wanderers,1.0,0.0,1.0,0.0,0.0,0.5924362203729960,0.4075637796270040,1.0,0.16610823446384900,0.1783326235595080,0.28666950576197000
3,3,1,2024-04-14,Vancouver FC,4–1,Valour FC,4.0,1.0,1.0,0.0,0.0,0.4237225237101590,0.5762774762898410,0.0,0.33209572967898800,0.21677340008937800,0.13290639964249000
4,4,2,2024-04-18,Vancouver FC,2–0,HFX Wanderers,,,,,,0.45523844808596400,0.5447615519140360,0.0,,,
5,5,2,2024-04-19,Pacific FC,2–0,Valour FC,,,,,,0.7298380049825150,0.2701619950174850,0.0,,,
6,6,2,2024-04-20,Atlético Ottawa,1–1,Cavalry FC,,,,,,0.5351486037590770,0.46485139624092400,0.0,,,
7,7,2,2024-04-21,York9 FC,0–3,Forge FC,,,,,,0.4117735615042460,0.5882264384957550,0.0,,,
