Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Sat,2021-06-26,13:00 (14:00),FC Edmonton,0–1,Atlético Ottawa,,IG Field,Alain Ruch,Match Report,
Regular Season,1,Sat,2021-06-26,16:00 (17:00),Pacific FC,2–0,HFX Wanderers,,IG Field,Fabrizio Stasolla,Match Report,
Regular Season,1,Sun,2021-06-27,13:00 (14:00),Forge FC,0–2,Valour FC,,IG Field,Filip Dujic,Match Report,
Regular Season,1,Sun,2021-06-27,16:00 (17:00),Cavalry FC,2–1,York9 FC,,IG Field,Juan Marquez,Match Report,
,,,,,,,,,,,,
Regular Season,2,Wed,2021-06-30,18:00 (19:00),Valour FC,2–0,HFX Wanderers,,IG Field,Carly Shaw-MacLaren,Match Report,
Regular Season,2,Thu,2021-07-01,16:00 (17:00),York9 FC,2–2,Pacific FC,,IG Field,Alain Ruch,Match Report,
Regular Season,2,Wed,2021-06-30,21:00 (22:00),Atlético Ottawa,1–4,Cavalry FC,,IG Field,Fabrizio Stasolla,Match Report,
Regular Season,2,Thu,2021-07-01,19:00 (20:00),FC Edmonton,2–0,Forge FC,,IG Field,Juan Marquez,Match Report,
,,,,,,,,,,,,
Regular Season,3,Sat,2021-07-03,18:00 (19:00),Cavalry FC,0–0,HFX Wanderers,,IG Field,David Barrie,Match Report,
Regular Season,3,Sun,2021-07-04,18:00 (19:00),Forge FC,3–0,Pacific FC,,IG Field,Carly Shaw-MacLaren,Match Report,
Regular Season,3,Sat,2021-07-03,21:00 (22:00),Valour FC,2–0,Atlético Ottawa,,IG Field,Ben Hoskins,Match Report,
Regular Season,3,Sun,2021-07-04,21:00 (22:00),FC Edmonton,1–1,York9 FC,,IG Field,Fabrizio Stasolla,Match Report,
,,,,,,,,,,,,
Regular Season,4,Wed,2021-07-07,18:00 (19:00),Atlético Ottawa,0–1,Pacific FC,,IG Field,Filip Dujic,Match Report,
Regular Season,4,Wed,2021-07-07,21:00 (22:00),York9 FC,2–1,Valour FC,,IG Field,Yusri Rudolf,Match Report,
Regular Season,4,Thu,2021-07-08,19:00 (20:00),Cavalry FC,0–2,Forge FC,,IG Field,Alain Ruch,Match Report,
,,,,,,,,,,,,
Regular Season,5,Sat,2021-07-10,13:00 (14:00),HFX Wanderers,2–1,FC Edmonton,,IG Field,Ben Hoskins,Match Report,
Regular Season,5,Sat,2021-07-10,16:00 (17:00),Pacific FC,3–0,York9 FC,,IG Field,Juan Marquez,Match Report,
Regular Season,5,Sun,2021-07-11,12:30 (13:30),Valour FC,1–0,Forge FC,,IG Field,Carly Shaw-MacLaren,Match Report,
Regular Season,5,Sun,2021-07-11,20:00 (21:00),Cavalry FC,0–2,Atlético Ottawa,,IG Field,Yusri Rudolf,Match Report,
,,,,,,,,,,,,
Regular Season,6,Wed,2021-07-14,18:00 (19:00),York9 FC,0–0,Cavalry FC,,IG Field,Filip Dujic,Match Report,
Regular Season,6,Tue,2021-07-13,19:00 (20:00),HFX Wanderers,0–0,Pacific FC,,IG Field,Alain Ruch,Match Report,
Regular Season,6,Thu,2021-07-15,16:00 (17:00),Atlético Ottawa,0–1,Valour FC,,IG Field,Fabrizio Stasolla,Match Report,
Regular Season,6,Wed,2021-07-14,21:00 (22:00),Forge FC,1–0,FC Edmonton,,IG Field,David Barrie,Match Report,
,,,,,,,,,,,,
Regular Season,7,Sat,2021-07-17,18:00 (19:00),HFX Wanderers,1–2,Cavalry FC,,IG Field,Alain Ruch,Match Report,
Regular Season,7,Sun,2021-07-18,18:30 (19:30),Valour FC,3–0,York9 FC,,IG Field,David Barrie,Match Report,
Regular Season,7,Sat,2021-07-17,21:00 (22:00),Pacific FC,1–2,Forge FC,,IG Field,Juan Marquez,Match Report,
Regular Season,7,Sun,2021-07-18,21:30 (22:30),Atlético Ottawa,1–1,FC Edmonton,,IG Field,Carly Shaw-MacLaren,Match Report,
,,,,,,,,,,,,
Regular Season,4,Wed,2021-07-21,18:00 (19:00),FC Edmonton,1–0,HFX Wanderers,,IG Field,Fabrizio Stasolla,Match Report,
,,,,,,,,,,,,
Regular Season,8,Wed,2021-07-21,21:00 (22:00),Pacific FC,4–2,Atlético Ottawa,,IG Field,Ben Hoskins,Match Report,
Regular Season,8,Thu,2021-07-22,19:00 (20:00),Forge FC,1–2,Cavalry FC,,IG Field,David Barrie,Match Report,
Regular Season,8,Sat,2021-07-24,13:00 (14:00),HFX Wanderers,1–0,Valour FC,,IG Field,Carly Shaw-MacLaren,Match Report,
Regular Season,8,Sat,2021-07-24,16:00 (17:00),York9 FC,1–0,FC Edmonton,,IG Field,Juan Marquez,Match Report,
,,,,,,,,,,,,
