Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,9,Fri,2021-07-30,19:00,York9 FC,0–1,Forge FC,,York Lions Stadium,Yusri Rudolf,Match Report,
Regular Season,9,Fri,2021-07-30,20:30 (21:30),Pacific FC,2–0,Cavalry FC,,Starlight Stadium,Carly Shaw-MacLaren,Match Report,
Regular Season,9,Sat,2021-07-31,19:00 (21:00),FC Edmonton,3–1,Valour FC,,Clarke Stadium,Dave Gantar,Match Report,
,,,,,,,,,,,,
Regular Season,10,Mon,2021-08-02,15:00 (14:00),HFX Wanderers,2–1,Atlético Ottawa,,Wanderers Grounds,Pierre-Luc Lauziere,Match Report,
Regular Season,10,Wed,2021-08-04,19:00,Forge FC,0–1,York9 FC,,Tim Hortons Field,Fabrizio Stasolla,Match Report,
Regular Season,10,Tue,2021-08-03,19:00 (21:00),Cavalry FC,2–1,FC Edmonton,,ATCO Field,Juan Marquez,Match Report,
Regular Season,10,Wed,2021-08-04,20:30 (21:30),Pacific FC,2–1,Valour FC,,Starlight Stadium,Mathieu Souaré,Match Report,
,,,,,,,,,,,,
Regular Season,11,Sat,2021-08-07,15:00 (14:00),HFX Wanderers,2–3,York9 FC,3800,Wanderers Grounds,David Barrie,Match Report,
Regular Season,11,Sat,2021-08-07,17:30 (18:30),Pacific FC,2–2,FC Edmonton,2259,Starlight Stadium,Carly Shaw-MacLaren,Match Report,
Regular Season,11,Sun,2021-08-08,13:00,Forge FC,2–0,Atlético Ottawa,,Tim Hortons Field,Pierre-Luc Lauziere,Match Report,
Regular Season,11,Sun,2021-08-08,14:00 (16:00),Cavalry FC,1–0,Valour FC,,ATCO Field,Mathieu Souaré,Match Report,
,,,,,,,,,,,,
Regular Season,12,Wed,2021-08-11,19:00 (21:00),Cavalry FC,0–0,Pacific FC,2394,ATCO Field,Juan Marquez,Match Report,
Regular Season,12,Thu,2021-08-12,19:00 (21:00),FC Edmonton,0–0,Valour FC,803,Clarke Stadium,Juan Marquez,Match Report,
,,,,,,,,,,,,
Regular Season,9,Sat,2021-08-14,15:00,Atlético Ottawa,2–1,HFX Wanderers,12064,TD Place Stadium,David Barrie,Match Report,
,,,,,,,,,,,,
Regular Season,13,Mon,2021-08-16,19:00 (20:00),Valour FC,0–2,Pacific FC,2736,IG Field,Alain Ruch,Match Report,
,,,,,,,,,,,,
Regular Season,12,Wed,2021-08-18,19:00,Atlético Ottawa,1–1,York9 FC,,TD Place Stadium,Fabrizio Stasolla,Match Report,
,,,,,,,,,,,,
Regular Season,14,Fri,2021-08-20,20:30 (21:30),Pacific FC,1–2,Cavalry FC,2740,Starlight Stadium,David Barrie,Match Report,
,,,,,,,,,,,,
Regular Season,12,Sun,2021-08-22,16:00,Forge FC,1–1,HFX Wanderers,3566,Tim Hortons Field,Serge Topalian,Match Report,
,,,,,,,,,,,,
Regular Season,13,Wed,2021-08-25,18:00,York9 FC,1–1,HFX Wanderers,,York Lions Stadium,Filip Dujic,Match Report,
,,,,,,,,,,,,
Regular Season,14,Tue,2021-08-24,19:00 (20:00),Valour FC,3–0,FC Edmonton,2480,IG Field,Mathieu Souaré,Match Report,
,,,,,,,,,,,,
Regular Season,13,Wed,2021-08-25,20:00,Forge FC,4–0,Atlético Ottawa,,Tim Hortons Field,Yusri Rudolf,Match Report,
,,,,,,,,,,,,
Regular Season,15,Sat,2021-08-28,16:00,Forge FC,3–1,York9 FC,3819,Tim Hortons Field,Pierre-Luc Lauziere,Match Report,
Regular Season,15,Sun,2021-08-29,13:30,Atlético Ottawa,2–2,HFX Wanderers,,TD Place Stadium,Scott Bowman,Match Report,
Regular Season,15,Sun,2021-08-29,14:00 (16:00),Cavalry FC,2–2,FC Edmonton,3489,ATCO Field,Fabrizio Stasolla,Match Report,
Regular Season,15,Sun,2021-08-29,17:30 (18:30),Pacific FC,3–2,Valour FC,2621,Starlight Stadium,Alain Ruch,Match Report,
,,,,,,,,,,,,
Regular Season,14,Wed,2021-09-01,19:00,Atlético Ottawa,2–2,York9 FC,,TD Place Stadium,David Barrie,Match Report,
,,,,,,,,,,,,
Regular Season,13,Wed,2021-09-01,19:00 (21:00),FC Edmonton,0–1,Cavalry FC,470,Clarke Stadium,Yusri Rudolf,Match Report,
,,,,,,,,,,,,
Regular Season,14,Fri,2021-09-03,18:00 (17:00),HFX Wanderers,2–0,Forge FC,,Wanderers Grounds,Ben Hoskins,Match Report,
,,,,,,,,,,,,
Regular Season,16,Sat,2021-09-04,17:30 (18:30),Valour FC,0–1,Cavalry FC,,IG Field,Carly Shaw-MacLaren,Match Report,
Regular Season,16,Sat,2021-09-04,19:00 (21:00),FC Edmonton,1–2,Pacific FC,1352,Clarke Stadium,Alain Ruch,Match Report,
,,,,,,,,,,,,
Regular Season,17,Mon,2021-09-06,15:00 (14:00),HFX Wanderers,3–3,York9 FC,,Wanderers Grounds,Yusri Rudolf,Match Report,
Regular Season,17,Tue,2021-09-07,19:00 (20:00),Valour FC,0–3,FC Edmonton,2446,IG Field,Juan Marquez,Match Report,
Regular Season,17,Wed,2021-09-08,19:00,Atlético Ottawa,0–1,Forge FC,,TD Place Stadium,Filip Dujic,Match Report,
Regular Season,17,Thu,2021-09-09,21:00 (22:00),Pacific FC,3–1,Cavalry FC,2350,Starlight Stadium,Pierre-Luc Lauziere,Match Report,
,,,,,,,,,,,,
Regular Season,16,Sat,2021-09-11,13:30,Atlético Ottawa,1–2,HFX Wanderers,,TD Place Stadium,Serge Topalian,Match Report,
Regular Season,16,Sat,2021-09-11,16:00,Forge FC,0–2,York9 FC,3449,Tim Hortons Field,Carly Shaw-MacLaren,Match Report,
,,,,,,,,,,,,
Regular Season,18,Tue,2021-09-14,19:00,York9 FC,2–0,Atlético Ottawa,1021,York Lions Stadium,Mathieu Souaré,Match Report,
Regular Season,18,Tue,2021-09-14,19:30 (21:30),FC Edmonton,1–1,Pacific FC,670,Clarke Stadium,Yusri Rudolf,Match Report,
,,,,,,,,,,,,
Regular Season,19,Sat,2021-09-18,14:00,York9 FC,0–0,HFX Wanderers,,York Lions Stadium,Filip Dujic,Match Report,
Regular Season,19,Sat,2021-09-18,15:00 (16:00),Valour FC,1–1,Cavalry FC,3000,IG Field,Fabrizio Stasolla,Match Report,
Regular Season,19,Sun,2021-09-19,16:00 (17:00),Pacific FC,1–1,Atlético Ottawa,2721,Starlight Stadium,Vojislav Sremcevic,Match Report,
,,,,,,,,,,,,
Regular Season,20,Sat,2021-09-25,15:00 (14:00),HFX Wanderers,1–0,FC Edmonton,6133,Wanderers Grounds,David Barrie,Match Report,
Regular Season,20,Sat,2021-09-25,16:30,Atlético Ottawa,3–1,Cavalry FC,,TD Place Stadium,Pierre-Luc Lauziere,Match Report,
Regular Season,20,Sat,2021-09-25,19:00,Forge FC,2–1,Pacific FC,,Tim Hortons Field,Fabrizio Stasolla,Match Report,
Regular Season,20,Sun,2021-09-26,14:00,York9 FC,2–1,Valour FC,1122,York Lions Stadium,Scott Bowman,Match Report,
,,,,,,,,,,,,
Regular Season,21,Wed,2021-09-29,18:30 (17:30),HFX Wanderers,2–1,Atlético Ottawa,,Wanderers Grounds,Filip Dujic,Match Report,
Regular Season,21,Wed,2021-09-29,18:45 (19:45),Valour FC,1–3,Pacific FC,,IG Field,Juan Marquez,Match Report,
Regular Season,21,Wed,2021-09-29,20:00 (22:00),FC Edmonton,2–3,Cavalry FC,991,Clarke Stadium,Dave Gantar,Match Report,
,,,,,,,,,,,,
Regular Season,22,Sat,2021-10-02,14:00 (15:00),Valour FC,1–1,FC Edmonton,,IG Field,Ben Hoskins,Match Report,
Regular Season,22,Sun,2021-10-03,13:00,York9 FC,2–2,HFX Wanderers,,York Lions Stadium,Carly Shaw-MacLaren,Match Report,
Regular Season,22,Sun,2021-10-03,15:30,Atlético Ottawa,0–3,Forge FC,,TD Place Stadium,Yusri Rudolf,Match Report,
,,,,,,,,,,,,
Regular Season,23,Tue,2021-10-05,19:00 (20:00),Valour FC,0–0,Cavalry FC,2600,IG Field,David Barrie,Match Report,
Regular Season,23,Wed,2021-10-06,19:00 (18:00),HFX Wanderers,0–1,Forge FC,,Wanderers Grounds,Fabrizio Stasolla,Match Report,
Regular Season,23,Wed,2021-10-06,19:00 (21:00),FC Edmonton,2–1,Pacific FC,,Clarke Stadium,Nicolas Joubert,Match Report,
Regular Season,23,Fri,2021-10-08,19:30,York9 FC,1–1,Atlético Ottawa,970,York Lions Stadium,Renzo Villanueva,Match Report,
,,,,,,,,,,,,
Regular Season,27,Sat,2021-10-09,14:00 (16:00),Cavalry FC,1–1,FC Edmonton,3102,ATCO Field,Alain Ruch,Match Report,
,,,,,,,,,,,,
Regular Season,24,Mon,2021-10-11,14:00 (15:00),Valour FC,3–1,Forge FC,,IG Field,Pierre-Luc Lauziere,Match Report,
Regular Season,24,Mon,2021-10-11,14:00 (13:00),HFX Wanderers,1–0,Pacific FC,,Wanderers Grounds,Dave Gantar,Match Report,
Regular Season,24,Tue,2021-10-12,19:00 (21:00),FC Edmonton,3–4,Atlético Ottawa,580,Clarke Stadium,Juan Marquez,Match Report,
Regular Season,24,Thu,2021-10-14,19:00 (21:00),Cavalry FC,2–1,York9 FC,1925,ATCO Field,David Barrie,Match Report,
,,,,,,,,,,,,
Regular Season,25,Sat,2021-10-16,15:30,Forge FC,2–0,Atlético Ottawa,,Tim Hortons Field,Yusri Rudolf,Match Report,
Regular Season,25,Sat,2021-10-16,17:00 (18:00),Pacific FC,3–2,Valour FC,3214,Starlight Stadium,Vojislav Sremcevic,Match Report,
Regular Season,25,Sun,2021-10-17,14:00,York9 FC,1–1,FC Edmonton,,York Lions Stadium,Carly Shaw-MacLaren,Match Report,
Regular Season,25,Sun,2021-10-17,14:00 (16:00),Cavalry FC,0–0,HFX Wanderers,2756,ATCO Field,Dave Gantar,Match Report,
,,,,,,,,,,,,
Regular Season,27,Wed,2021-10-20,19:00,Atlético Ottawa,2–0,Valour FC,,TD Place Stadium,Fabrizio Stasolla,Match Report,
,,,,,,,,,,,,
Regular Season,22,Thu,2021-10-21,19:00 (21:00),Cavalry FC,2–1,Pacific FC,2082,ATCO Field,Pierre-Luc Lauziere,Match Report,
,,,,,,,,,,,,
Regular Season,18,Sat,2021-10-23,15:00 (14:00),HFX Wanderers,0–0,Forge FC,6156,Wanderers Grounds,David Barrie,Match Report,
,,,,,,,,,,,,
Regular Season,26,Sun,2021-10-24,14:00,Atlético Ottawa,1–1,York9 FC,,TD Place Stadium,Filip Dujic,Match Report,
Regular Season,26,Tue,2021-10-26,19:30 (20:30),Valour FC,3–0,HFX Wanderers,2567,IG Field,Alain Ruch,Match Report,
Regular Season,26,Tue,2021-10-26,21:30 (22:30),Pacific FC,5–1,FC Edmonton,2548,Starlight Stadium,Fabrizio Stasolla,Match Report,
,,,,,,,,,,,,
Regular Season,27,Sat,2021-10-30,13:00,Forge FC,4–1,HFX Wanderers,,Tim Hortons Field,Pierre-Luc Lauziere,Match Report,
,,,,,,,,,,,,
Regular Season,18,Sat,2021-10-30,13:30 (15:30),Cavalry FC,2–4,Valour FC,2411,ATCO Field,Juan Marquez,Match Report,
,,,,,,,,,,,,
Regular Season,27,Sat,2021-10-30,17:00 (18:00),Pacific FC,1–2,York9 FC,,Starlight Stadium,Alain Ruch,Match Report,
,,,,,,,,,,,,
Regular Season,28,Sat,2021-11-06,13:00,York9 FC,1–2,Forge FC,1126,York Lions Stadium,Filip Dujic,Match Report,
Regular Season,28,Sat,2021-11-06,13:30 (15:30),FC Edmonton,3–3,Valour FC,716,Clarke Stadium,David Barrie,Match Report,
Regular Season,28,Sun,2021-11-07,13:30 (15:30),Cavalry FC,1–0,Pacific FC,2408,ATCO Field,Dave Gantar,Match Report,
Regular Season,28,Sun,2021-11-07,14:00 (13:00),HFX Wanderers,1–1,Atlético Ottawa,6456,Wanderers Grounds,Fabrizio Stasolla,Match Report,
,,,,,,,,,,,,
Regular Season,21,Tue,2021-11-09,19:00,York9 FC,1–3,Forge FC,756,York Lions Stadium,Yusri Rudolf,Match Report,
,,,,,,,,,,,,
Regular Season,19,Sat,2021-11-13,12:00 (14:00),FC Edmonton,1–0,Forge FC,564,Clarke Stadium,Juan Marquez,Match Report,
,,,,,,,,,,,,
Regular Season,26,Tue,2021-11-16,18:00,Forge FC,0–1,Cavalry FC,2104,Tim Hortons Field,Alain Ruch,Match Report,
,,,,,,,,,,,,
Semifinals,,Sat,2021-11-20,13:00 (15:00),Cavalry FC,1–2,Pacific FC,2927,ATCO Field,Pierre-Luc Lauziere,Match Report,Required Extra Time
Semifinals,,Sun,2021-11-21,15:00,Forge FC,3–1,York9 FC,5123,Tim Hortons Field,Juan Marquez,Match Report,
Final,,Sun,2021-12-05,16:30,Forge FC,0–1,Pacific FC,,Tim Hortons Field,Yusri Rudolf,Match Report,
