,Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
49,Regular Season,10.0,Fri,2023-06-16,19:00,Valour FC,2–0,Forge FC,3350.0,IG Field,Renzo Villanueva,Match Report,
50,Regular Season,10.0,Sun,2023-06-18,15:00,Pacific FC,1–0,York9 FC,2741.0,Starlight Stadium,Mario Alayass,Match Report,
51,,,,,,,,,,,,,
52,Regular Season,11.0,Wed,2023-06-21,19:00,York9 FC,2–2,HFX Wanderers,1013.0,York Lions Stadium,Fabrizio Stasolla,Match Report,
53,Regular Season,11.0,Tue,2023-06-20,19:00,Vancouver FC,2–0,Forge FC,2149.0,Willoughby Community Park Stadium,Mo Mohensi,Match Report,
54,Regular Season,11.0,Wed,2023-06-21,21:00,Pacific FC,1–0,Valour FC,2706.0,Starlight Stadium,Sebastian Noshinravani,Match Report,
55,,,,,,,,,,,,,
56,Regular Season,12.0,Sat,2023-06-24,15:00,Cavalry FC,2–1,York9 FC,4404.0,ATCO Field,Marie-Soleil Beaudoin,Match Report,
57,Regular Season,12.0,Sun,2023-06-25,14:00,Valour FC,1–0,Vancouver FC,2208.0,IG Field,Myriam Marcotte,Match Report,
58,Regular Season,12.0,Sun,2023-06-25,18:00,Forge FC,4–3,Atlético Ottawa,6917.0,Tim Hortons Field,Michael Venne,Match Report,
59,,,,,,,,,,,,,
60,Regular Season,13.0,Fri,2023-06-30,19:00,HFX Wanderers,2–1,Forge FC,6145.0,Wanderers Grounds,Marie-Soleil Beaudoin,Match Report,
61,Regular Season,13.0,Sat,2023-07-01,14:00,Valour FC,0–2,Cavalry FC,3391.0,IG Field,Carly Shaw-MacLaren,Match Report,
62,Regular Season,13.0,Fri,2023-06-30,20:30,Pacific FC,2–2,Atlético Ottawa,2591.0,Starlight Stadium,Alain Ruch,Match Report,
63,Regular Season,13.0,Sun,2023-07-02,13:30,Vancouver FC,1–2,York9 FC,2482.0,Willoughby Community Park Stadium,Ben Hoskins,Match Report,
64,,,,,,,,,,,,,
65,Regular Season,14.0,Fri,2023-07-07,19:00,Vancouver FC,2–1,HFX Wanderers,2321.0,Willoughby Community Park Stadium,Roberto D'Alesio,Match Report,
66,Regular Season,14.0,Sun,2023-07-09,15:00,Atlético Ottawa,2–0,Valour FC,5003.0,TD Place Stadium,Fabrizio Stasolla,Match Report,
67,Regular Season,14.0,Sun,2023-07-09,19:30,York9 FC,0–4,Forge FC,1464.0,York Lions Stadium,Yusri Rudolf,Match Report,
68,Regular Season,14.0,Sat,2023-07-08,20:00,Pacific FC,1–2,Cavalry FC,2825.0,Starlight Stadium,Scott Bowman,Match Report,
69,,,,,,,,,,,,,
70,Regular Season,12.0,Tue,2023-07-11,19:00,HFX Wanderers,2–1,Pacific FC,5255.0,Wanderers Grounds,David Barrie,Match Report,
71,,,,,,,,,,,,,
72,Regular Season,11.0,Wed,2023-07-12,18:30,Cavalry FC,0–2,Atlético Ottawa,3189.0,ATCO Field,Michael Venne,Match Report,
73,,,,,,,,,,,,,
74,Regular Season,15.0,Fri,2023-07-14,19:30,York9 FC,0–0,Pacific FC,1464.0,York Lions Stadium,Carly Shaw-MacLaren,Match Report,
75,Regular Season,15.0,Sat,2023-07-15,14:00,Cavalry FC,1–0,HFX Wanderers,3867.0,ATCO Field,Alain Ruch,Match Report,
76,Regular Season,15.0,Sat,2023-07-15,19:00,Forge FC,1–1,Valour FC,5179.0,Tim Hortons Field,Ben Hoskins,Match Report,
77,Regular Season,15.0,Sun,2023-07-16,14:00,Atlético Ottawa,3–1,Vancouver FC,4160.0,TD Place Stadium,Renzo Villanueva,Match Report,
78,,,,,,,,,,,,,
79,Regular Season,16.0,Sat,2023-07-22,16:00,Vancouver FC,1–5,Cavalry FC,2239.0,Willoughby Community Park Stadium,Mario Alayass,Match Report,
80,Regular Season,16.0,Fri,2023-07-21,21:00,Pacific FC,0–2,Forge FC,3311.0,Starlight Stadium,Michael Venne,Match Report,
81,Regular Season,16.0,Sun,2023-07-23,17:00,HFX Wanderers,1–0,Atlético Ottawa,5884.0,Wanderers Grounds,Sebastian Noshinravani,Match Report,
82,Regular Season,16.0,Sun,2023-07-23,18:00,Valour FC,1–2,York9 FC,3423.0,IG Field,Seyed Mohammad Mohseni,Match Report,
83,,,,,,,,,,,,,
84,Regular Season,17.0,Fri,2023-07-28,19:00,Forge FC,2–0,Vancouver FC,5232.0,Tim Hortons Field,Roberto D'Alesio,Match Report,
85,Regular Season,17.0,Sat,2023-07-29,15:00,Valour FC,0–3,Pacific FC,2977.0,IG Field,Alain Ruch,Match Report,
86,Regular Season,17.0,Sat,2023-07-29,19:00,Atlético Ottawa,1–0,Cavalry FC,5033.0,TD Place Stadium,Carly Shaw-MacLaren,Match Report,
87,Regular Season,17.0,Sun,2023-07-30,14:00,York9 FC,0–2,HFX Wanderers,1490.0,York Lions Stadium,Scott Bowman,Match Report,
88,,,,,,,,,,,,,
89,Regular Season,18.0,Sat,2023-08-05,19:00,Atlético Ottawa,3–3,York9 FC,5200.0,TD Place Stadium,David Barrie,Match Report,
90,Regular Season,18.0,Fri,2023-08-04,19:00,Cavalry FC,3–0,Forge FC,4106.0,ATCO Field,Ben Hoskins,Match Report,
91,Regular Season,18.0,Sun,2023-08-06,14:00,Vancouver FC,0–0,Valour FC,2591.0,Willoughby Community Park Stadium,Renzo Villanueva,Match Report,
92,Regular Season,18.0,Mon,2023-08-07,15:00,HFX Wanderers,1–2,Pacific FC,6254.0,Wanderers Grounds,Yusri Rudolf,Match Report,
93,,,,,,,,,,,,,
94,Regular Season,19.0,Sat,2023-08-12,16:00,HFX Wanderers,3–0,Vancouver FC,6254.0,Wanderers Grounds,Ben Hoskins,Match Report,
95,Regular Season,19.0,Sat,2023-08-12,19:00,Forge FC,3–3,York9 FC,5071.0,Tim Hortons Field,Renzo Villanueva,Match Report,
96,Regular Season,19.0,Fri,2023-08-11,19:00,Valour FC,3–2,Cavalry FC,2755.0,IG Field,Fabrizio Stasolla,Match Report,
97,Regular Season,19.0,Sun,2023-08-13,15:30,Pacific FC,0–1,Atlético Ottawa,3356.0,Starlight Stadium,Scott Bowman,Match Report,
98,,,,,,,,,,,,,
99,Regular Season,20.0,Sat,2023-08-19,13:00,Vancouver FC,3–2,Pacific FC,2363.0,Willoughby Community Park Stadium,Yusri Rudolf,Match Report,
100,Regular Season,20.0,Sat,2023-08-19,19:00,Forge FC,1–1,HFX Wanderers,4824.0,Tim Hortons Field,Carly Shaw-MacLaren,Match Report,
101,Regular Season,20.0,Fri,2023-08-18,19:00,Valour FC,1–3,Atlético Ottawa,3317.0,IG Field,Mathieu Souaré,Match Report,
102,Regular Season,20.0,Sun,2023-08-20,15:00,Cavalry FC,2–1,York9 FC,4608.0,ATCO Field,Michael Venne,Match Report,
103,,,,,,,,,,,,,
104,Regular Season,21.0,Fri,2023-08-25,19:30,York9 FC,2–1,Vancouver FC,1200.0,York Lions Stadium,Fabrizio Stasolla,Match Report,
