,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
72,Fall Season,Wed,2019-09-11,19:00,FC Edmonton,0–1,Cavalry FC,2790,Clarke Stadium,Dave Gantar,Match Report,
73,Fall Season,Wed,2019-09-11,21:00,Pacific FC,0–2,York9 FC,2384,Westhills Stadium,Nicolas Joubert,Match Report,
74,Fall Season,Thu,2019-09-12,19:00,Valour FC,1–3,Forge FC,3586,IG Field,Serge Topalian,Match Report,
75,Fall Season,Sat,2019-09-14,14:00,Pacific FC,1–0,FC Edmonton,2017,Westhills Stadium,Alain Ruch,Match Report,
76,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
77,Fall Season,Sun,2019-09-15,13:00,Forge FC,2–2,HFX Wanderers,6016,Tim Hortons Field,Fabrizio Stasolla,Match Report,
78,Fall Season,Sun,2019-09-15,15:30,York9 FC,2–4,Valour FC,3863,York Lions Stadium,Marie-Soleil Beaudoin,Match Report,
79,Fall Season,Wed,2019-09-18,18:30,HFX Wanderers,1–1,Forge FC,5824,Wanderers Grounds,Myriam Marcotte,Match Report,
80,Fall Season,Sat,2019-09-21,13:30,FC Edmonton,1–3,York9 FC,2690,Clarke Stadium,Alain Ruch,Match Report,
81,Fall Season,Sat,2019-09-21,14:00,HFX Wanderers,0–0,Valour FC,6138,Wanderers Grounds,Yusri Rudolf,Match Report,
82,Fall Season,Sun,2019-09-22,13:30,Cavalry FC,4–1,Pacific FC,3968,Spruce Meadows,Fabrizio Stasolla,Match Report,
83,Fall Season,Sat,2019-09-28,14:00,HFX Wanderers,1–1,FC Edmonton,6213,Wanderers Grounds,Juan Marquez,Match Report,
84,Fall Season,Sat,2019-09-28,15:30,Forge FC,3–0,Pacific FC,5616,Tim Hortons Field,Pierre-Luc Lauziere,Match Report,
85,Fall Season,Sat,2019-09-28,18:00,York9 FC,1–1,Cavalry FC,2568,York Lions Stadium,Filip Dujic,Match Report,
86,Fall Season,Wed,2019-10-02,19:00,FC Edmonton,0–1,Forge FC,2042,Clarke Stadium,David Barrie,Match Report,
87,Fall Season,Wed,2019-10-02,19:00,Cavalry FC,4–1,Valour FC,2570,Spruce Meadows,Alain Ruch,Match Report,
88,Fall Season,Wed,2019-10-02,21:00,Pacific FC,1–1,HFX Wanderers,2708,Westhills Stadium,Dave Gantar,Match Report,
89,Fall Season,Sat,2019-10-05,14:30,Valour FC,3–1,FC Edmonton,4776,IG Field,Juan Marquez,Match Report,
90,Fall Season,Sat,2019-10-05,16:00,Cavalry FC,2–0,HFX Wanderers,3295,Spruce Meadows,Yusri Rudolf,Match Report,
91,Fall Season,Sun,2019-10-06,15:30,Forge FC,1–0,York9 FC,4864,Tim Hortons Field,Fabrizio Stasolla,Match Report,
92,Fall Season,Wed,2019-10-09,19:00,HFX Wanderers,1–1,Pacific FC,6055,Wanderers Grounds,Marie-Soleil Beaudoin,Match Report,
93,Fall Season,Wed,2019-10-09,19:00,Cavalry FC,2–1,Forge FC,1938,Spruce Meadows,Silviu Petrescu,Match Report,
94,Fall Season,Sat,2019-10-12,15:30,York9 FC,4–0,Forge FC,2314,York Lions Stadium,Filip Dujic,Match Report,
95,Fall Season,Wed,2019-10-16,19:00,Forge FC,1–0,Cavalry FC,3864,Tim Hortons Field,Juan Marquez,Match Report,
96,Fall Season,Wed,2019-10-16,19:00,FC Edmonton,3–1,Pacific FC,2489,Clarke Stadium,Pierre-Luc Lauziere,Match Report,
97,Fall Season,Wed,2019-10-16,19:00,Valour FC,0–4,York9 FC,3980,IG Field,Sebastian Noshinravani,Match Report,
98,Fall Season,Sat,2019-10-19,13:30,York9 FC,0–2,HFX Wanderers,3452,York Lions Stadium,Ben Hoskins,Match Report,
99,Fall Season,Sat,2019-10-19,14:00,Cavalry FC,3–1,FC Edmonton,3492,Spruce Meadows,David Barrie,Match Report,
100,Fall Season,Sat,2019-10-19,17:30,Pacific FC,2–0,Valour FC,5103,Westhills Stadium,Filip Dujic,Match Report,
101,Finals,Sat,2019-10-26,15:30,Forge FC,1–0,Cavalry FC,10846,Tim Hortons Field,Pierre-Luc Lauziere,Match Report,Leg 1 of 2
102,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
103,Finals,Sat,2019-11-02,14:00,Cavalry FC,0–1,Forge FC,5831,Spruce Meadows,Alain Ruch,Match Report,Leg 2 of 2; Forge FC won
